Samples	water	D-St6	D-St7	D-St8	D-St9
19.525	-0.71895	94.886251	79.538951	82.310451	32.28075
19.533	-0.71675	94.087351	77.995451	80.831151	31.6031
19.542	-0.71955	93.181201	76.162501	79.038351	30.72635
19.550	-0.72015	92.143201	74.036401	76.903651	29.6684
19.558	-0.72165	90.944601	71.590551	74.438651	28.43795
19.567	-0.72095	89.538101	68.807451	71.634701	27.0598
19.575	-0.7216	87.892301	65.690701	68.509001	25.56875
19.583	-0.7222	85.945951	62.257301	65.087551	23.9631
19.592	-0.7208	83.633451	58.534501	61.363851	22.2784
19.600	-0.72095	80.887801	54.565251	57.412751	20.54865
19.608	-0.72075	77.680901	50.416451	53.263051	18.7885
19.617	-0.72175	73.976901	46.155301	48.987551	17.04555
19.625	-0.7203	69.792901	41.855651	44.679251	15.3271
19.633	-0.721	65.142301	37.538701	40.352051	13.67025
19.642	-0.72275	60.138301	33.3502	36.104851	12.0909
19.650	-0.7236	54.879851	29.338	31.99925	10.59705
19.658	-0.72325	49.476001	25.56045	28.081	9.20885
19.667	-0.72445	44.096801	22.0528	24.399	7.9256
19.675	-0.72455	38.843051	18.8448	20.99495	6.75945
19.683	-0.72695	33.831301	15.95585	17.90095	5.7159
19.692	-0.7281	29.1503	13.3851	15.117	4.78055
19.700	-0.7273	24.83315	11.11695	12.6379	3.9549
19.708	-0.7294	20.95935	9.15385	10.4543	3.2352
19.717	-0.72995	17.51985	7.46555	8.55285	2.6094
19.725	-0.7298	14.5191	6.037	6.91515	2.0744
19.733	-0.7298	11.9483	4.841	5.52785	1.6216
19.742	-0.73065	9.76325	3.84625	4.3642	1.24195
19.750	-0.7314	7.92795	3.03325	3.38905	0.92575
19.758	-0.73225	6.4063	2.371	2.58845	0.66525
19.767	-0.7331	5.1555	1.83785	1.93185	0.4493
19.775	-0.73355	4.1421	1.41585	1.4031	0.2752
19.783	-0.73185	3.3299	1.0819	0.97565	0.13395
19.792	-0.7311	2.68885	0.82695	0.64035	0.02305
19.800	-0.73405	2.1928	0.6315	0.37675	-0.06215
